Country,Code,Year,Subscription
India,IND,2018,1.343296766
Indonesia,IDN,2018,3.315312884
Iran,IRN,2018,12.70539134
Iraq,IRQ,2018,11.68854336
Ireland,IRL,2018,29.6794357
Israel,ISR,2018,29.05202352
Italy,ITA,2018,28.13997577
Jamaica,JAM,2018,9.702584155
Japan,JPN,2018,32.62230968
Jordan,JOR,2018,4.009867021
Kazakhstan,KAZ,2018,13.43532382
Kenya,KEN,2018,0.722863317
Kiribati,KIR,2018,0.075099053
Kuwait,KWT,2018,2.509382904
Kyrgyzstan,KGZ,2018,3.975425244
Laos,LAO,2018,0.642624867
Latvia,LVA,2018,27.27540487
Lesotho,LSO,2018,0.273344565
Liechtenstein,LIE,2018,44.08335532
Lithuania,LTU,2018,28.15668213
Luxembourg,LUX,2018,37.12070435
Macao,MAC,2018,30.56459733
Madagascar,MDG,2018,0.103612351
Malawi,MWI,2018,0.062601908
Malaysia,MYS,2018,8.551120205
Maldives,MDV,2018,9.238388508
Mali,MLI,2018,0.633900781
Malta,MLT,2018,43.6730503
Mauritania,MRT,2018,0.300273907
Mauritius,MUS,2018,21.67797125
Mexico,MEX,2018,14.54862775
Moldova,MDA,2018,15.37866762
Monaco,MCO,2018,51.24347242
Mongolia,MNG,2018,9.657070685
Montenegro,MNE,2018,25.33079328
Morocco,MAR,2018,4.309292493
Mozambique,MOZ,2018,0.237801704
Myanmar,MMR,2018,0.240279346
Namibia,NAM,2018,2.531061336
Nepal,NPL,2018,2.81879649
Netherlands,NLD,2018,43.4167118
New Zealand,NZL,2018,34.72389862
Nicaragua,NIC,2018,2.975995209
Nigeria,NGA,2018,0.037761388
North Macedonia,MKD,2018,20.54598343
Norway,NOR,2018,41.32402966
Oman,OMN,2018,9.171272567
Pakistan,PAK,2018,0.853498388
Palestine,PSE,2018,7.486892294
Panama,PAN,2018,12.93361128
Paraguay,PRY,2018,4.610364537
Peru,PER,2018,7.927901427
Philippines,PHL,2018,3.552217048
Poland,POL,2018,20.70435756
Portugal,PRT,2018,36.90145066
Puerto Rico,PRI,2018,20.03644563
Qatar,QAT,2018,9.631079325
Romania,ROU,2018,26.09438251
Russia,RUS,2018,22.0008863
Rwanda,RWA,2018,0.060973974
Saint Kitts and Nevis,KNA,2018,55.81892031
Saint Lucia,LCA,2018,17.73884072
Saint Vincent and the Grenadines,VCT,2018,22.33261653
San Marino,SMR,2018,32.13852301
Sao Tome and Principe,STP,2018,0.737816783
Saudi Arabia,SAU,2018,20.24129125
Senegal,SEN,2018,0.818830296
Serbia,SRB,2018,17.6326636
Seychelles,SYC,2018,20.27786933
Singapore,SGP,2018,25.94181953
Slovakia,SVK,2018,27.65439443
Slovenia,SVN,2018,29.48956054
Solomon Islands,SLB,2018,0.227921275
South Africa,ZAF,2018,1.915495359
South Korea,KOR,2018,41.59692858
S. Sudan,SSD,2018,0.00182217
Spain,ESP,2018,32.50380176
Sri Lanka,LKA,2018,7.274625469
Sudan,SDN,2018,0.075002034
Suriname,SUR,2018,12.70438723
Sweden,SWE,2018,39.5330035
Switzerland,CHE,2018,45.55542119
Syria,SYR,2018,7.841153913
Tanzania,TZA,2018,1.529357877
Thailand,THA,2018,13.23520776
Timor,TLS,2018,0.04755618
Togo,TGO,2018,0.331546351
Tonga,TON,2018,2.440962431
Trinidad and Tobago,TTO,2018,24.62148602
Tunisia,TUN,2018,8.771097018
Turkey,TUR,2018,16.28274432
Ukraine,UKR,2018,12.80325605
United Arab Emirates,ARE,2018,31.40460882
United Kingdom,GBR,2018,39.5970259
United States of America,USA,2018,33.89369182
Uruguay,URY,2018,28.33601746
Uzbekistan,UZB,2018,12.69699784
Venezuela,VEN,2018,9.016399628
Vietnam,VNM,2018,13.6002095
World,OWID_WRL,2018,14.57717281
Yemen,YEM,2018,1.355606503
Zambia,ZMB,2018,0.416258734
Zimbabwe,ZWE,2018,1.40632166
Uganda,UGA,2018,0
Libya,LBY,2018,0
Niger,NER,2018,0
Guyana,GUY,2018,0
French Guiana,GUF,2018,0
Somalia,SOM,2018,0
Papua New Guinea,PNG,2018,0
Ethiopia,ETH,2018,0
Eritrea,ERI,2018,0
North Korea,PRK,,
